Frame Offset; Left Frame Index; Right Frame Index; Left Frame Time (ms); Left time from first frame (ms); Right Frame Time (ms); Right time from first frame (ms); Frame Time Diff (ms)
286;287;287;1.616708;2797.2839179635;1.840167;899.794126987457;0.223459
287;288;288;1.727375;2798.90062600374;2.152791;901.634294033051;0.425416
288;289;289;1.680417;2800.62800103426;1.971375;903.787085056305;0.290958
289;290;290;1.591791;2802.3084179759;2.218208;905.758460044861;0.626417
290;291;291;1.992667;2803.90020900965;2.032041;907.976668119431;0.03937411
291;292;292;4.487208;2805.89287596941;1.890583;910.008709192276;-2.596625
292;293;293;25.17921;2810.38008385897;2.066375;911.899292230606;-23.11283
293;294;294;50.34158;2835.55929261446;2.09525;913.965667247772;-48.24633
294;295;295;20.02012;2885.90087586641;2.132291;916.060917139053;-17.88783
295;296;296;11.15042;2905.92100030184;1.905667;918.193208217621;-9.244749
296;297;297;2.295083;2917.07141667604;2.01775;920.098875164986;-0.277333
297;298;298;2.000917;2919.366499722;2.132416;922.116625189781;0.1314991
298;299;299;2.224084;2921.36741667986;1.923917;924.249041199684;-0.300167
299;300;300;2.4105;2923.59150058031;0;926.172958135605;-2.4105
